Frame Number, Sedan, SUV, Total
731, 1, 4, 5
732, 1, 3, 4
733, 2, 2, 4
734, 4, 0, 4
735, 2, 3, 5
736, 2, 4, 6
737, 2, 3, 5
738, 2, 3, 5
739, 2, 4, 6
740, 1, 4, 5
741, 2, 3, 5
742, 2, 3, 5
743, 3, 2, 5
744, 0, 6, 6
745, 4, 3, 7
746, 1, 5, 6
747, 5, 1, 6
748, 4, 2, 6
749, 4, 2, 6
750, 4, 2, 6
751, 4, 2, 6
752, 5, 1, 6
753, 3, 3, 6
754, 4, 2, 6
755, 3, 2, 5
756, 2, 4, 6
757, 3, 2, 5
758, 5, 0, 5
759, 3, 2, 5
760, 4, 1, 5
761, 5, 0, 5
762, 3, 2, 5
763, 5, 0, 5
764, 4, 1, 5
765, 4, 1, 5
766, 4, 1, 5
767, 3, 2, 5
768, 3, 2, 5
769, 3, 2, 5
770, 4, 1, 5
771, 3, 2, 5
772, 3, 1, 4
773, 3, 1, 4
774, 3, 1, 4
775, 4, 0, 4
776, 3, 1, 4
777, 4, 0, 4
778, 3, 1, 4
779, 3, 1, 4
780, 4, 0, 4
781, 4, 0, 4
782, 3, 0, 3
783, 3, 0, 3
784, 2, 1, 3
785, 3, 0, 3
786, 2, 1, 3
787, 3, 1, 4
788, 3, 1, 4
789, 2, 2, 4
790, 3, 1, 4
791, 3, 1, 4
792, 3, 1, 4
793, 3, 1, 4
794, 3, 1, 4
795, 2, 2, 4
796, 3, 1, 4
797, 3, 2, 5
798, 4, 1, 5
799, 3, 2, 5
800, 4, 1, 5
801, 3, 1, 4
802, 3, 2, 5
803, 2, 2, 4
804, 3, 1, 4
805, 2, 2, 4
806, 3, 1, 4
807, 3, 1, 4
808, 3, 1, 4
809, 2, 1, 3
810, 2, 1, 3
811, 2, 1, 3
812, 2, 1, 3
813, 2, 2, 4
814, 3, 2, 5
815, 3, 2, 5
816, 3, 2, 5
817, 3, 2, 5
818, 3, 2, 5
819, 3, 2, 5
820, 3, 2, 5
821, 3, 1, 4
822, 3, 1, 4
823, 2, 2, 4
824, 3, 1, 4
825, 3, 1, 4
826, 3, 1, 4
827, 2, 1, 3
828, 2, 2, 4
829, 3, 1, 4
830, 3, 1, 4
831, 3, 1, 4
832, 2, 2, 4
833, 3, 1, 4
834, 4, 0, 4
835, 2, 2, 4
836, 2, 2, 4
837, 2, 2, 4
838, 3, 1, 4
839, 3, 1, 4
840, 2, 2, 4
841, 3, 1, 4
842, 3, 1, 4
843, 3, 1, 4
844, 2, 2, 4
845, 3, 1, 4
846, 3, 1, 4
847, 2, 2, 4
848, 2, 2, 4
849, 3, 1, 4
850, 2, 2, 4
851, 3, 1, 4
852, 4, 0, 4
853, 4, 0, 4
854, 3, 1, 4
855, 3, 1, 4
